ID,Account Name,Company,Parent Account,Created On,Created By,Disable,Account Number,Is Group,Root Type,Report Type,Currency,Account Category,Account Type,Tax Rate,Frozen,Balance must be,Include in gross
"""5112 - Expenses Included In Asset Valuation - CCL""",Expenses Included In Asset Valuation,CROWN CANTEEN LIMITED,5110 - Stock Expenses - CCL,54:00.9,Administrator,0,5112,0,Expense,Profit and Loss,KES,Other Direct Costs,Expenses Included In Asset Valuation,0,No,,0
"""5118 - Expenses Included In Valuation - CCL""",Expenses Included In Valuation,CROWN CANTEEN LIMITED,5110 - Stock Expenses - CCL,54:00.9,Administrator,0,5118,0,Expense,Profit and Loss,KES,Other Direct Costs,Expenses Included In Valuation,0,No,,0
"""5119 - Stock Adjustment - CCL""",Stock Adjustment,CROWN CANTEEN LIMITED,5110 - Stock Expenses - CCL,54:00.9,Administrator,0,5119,0,Expense,Profit and Loss,KES,Other Direct Costs,Stock Adjustment,0,No,,0
"""5200 - Indirect Expenses - CCL""",Indirect Expenses,CROWN CANTEEN LIMITED,5000 - Expenses - CCL,54:00.9,Administrator,0,5200,1,Expense,Profit and Loss,KES,,,0,No,,0
"""5201 - Administrative Expenses - CCL""",Administrative Expenses,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5201,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5202 - Commission on Sales - CCL""",Commission on Sales,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5202,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5203 - Depreciation - CCL""",Depreciation,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5203,0,Expense,Profit and Loss,KES,Operating Expenses,Depreciation,0,No,,0
"""5204 - Entertainment Expenses - CCL""",Entertainment Expenses,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5204,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5205 - Freight and Forwarding Charges - CCL""",Freight and Forwarding Charges,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5205,0,Expense,Profit and Loss,KES,Operating Expenses,Chargeable,0,No,,0
"""5206 - Legal Expenses - CCL""",Legal Expenses,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5206,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5207 - Marketing Expenses - CCL""",Marketing Expenses,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5207,0,Expense,Profit and Loss,KES,Operating Expenses,Chargeable,0,No,,0
"""5208 - Office Maintenance Expenses - CCL""",Office Maintenance Expenses,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5208,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5209 - Office Rent - CCL""",Office Rent,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5209,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5210 - Postal Expenses - CCL""",Postal Expenses,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5210,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5211 - Print and Stationery - CCL""",Print and Stationery,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5211,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5212 - Round Off - CCL""",Round Off,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5212,0,Expense,Profit and Loss,KES,Operating Expenses,Round Off,0,No,,0
"""5213 - Salary - CCL""",Salary,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5213,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5214 - Sales Expenses - CCL""",Sales Expenses,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5214,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5215 - Telephone Expenses - CCL""",Telephone Expenses,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5215,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5216 - Travel Expenses - CCL""",Travel Expenses,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5216,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5217 - Utility Expenses - CCL""",Utility Expenses,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5217,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5218 - Write Off - CCL""",Write Off,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5218,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5219 - Exchange Gain/Loss - CCL""",Exchange Gain/Loss,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5219,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5220 - Interest Expense - CCL""",Interest Expense,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5220,0,Expense,Profit and Loss,KES,Finance Costs,,0,No,,0
"""5221 - Bank Charges - CCL""",Bank Charges,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5221,0,Expense,Profit and Loss,KES,Finance Costs,,0,No,,0
"""5222 - Gain/Loss on Asset Disposal - CCL""",Gain/Loss on Asset Disposal,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5222,0,Expense,Profit and Loss,KES,Other Operating Income,,0,No,,0
"""5223 - Miscellaneous Expenses - CCL""",Miscellaneous Expenses,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5223,0,Expense,Profit and Loss,KES,Operating Expenses,Chargeable,0,No,,0
"""5224 - Impairment - CCL""",Impairment,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:00.9,Administrator,0,5224,0,Expense,Profit and Loss,KES,Operating Expenses,,0,No,,0
"""5225 - Tax Expense - CCL""",Tax Expense,CROWN CANTEEN LIMITED,5200 - Indirect Expenses - CCL,54:01.0,Administrator,0,5225,0,Expense,Profit and Loss,KES,Tax Expense,,0,No,,0
